Area (CN), avg flv ratio, avg srv ratio, avg env ratio, Area (EN)
黄浦,7.755,7.558,7.636,Huangpu
嘉定,8.025,7.888,8.002,Jiading
长宁,7.939,7.769,7.816,Changning
静安,7.900,7.765,7.851,Jingan
杨浦,7.911,7.747,7.788,Yangpu
闸北,7.856,7.665,7.706,Zhabei
卢湾,7.829,7.698,7.788,Luwan
虹口,7.772,7.536,7.550,Hongkou
宝山,7.973,7.829,7.867,Baoshan
崇明,8.161,7.943,7.943,Chongming
青浦,8.142,8.007,8.117,Qingpu
浦东,7.908,7.749,7.851,Pudong
松江,8.098,7.978,8.100,Songjiang
普陀,7.811,7.604,7.643,Putuo
金山,8.116,8.037,8.136,Jinshan
奉贤,8.105,8.111,8.278,Fengxian
闵行,8.042,7.905,7.958,Minhang
徐汇,7.836,7.663,7.761,Xuhui
